,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
384,0.0982,tanh,5.17E-06,0.520460358,0.952626861,217,2,1
385,0.8888,tanh,1.40E-06,0.002270095,0.004507927,334,4,1
386,0.1135,tanh,2.70E-05,0.083717204,0.016600301,106,4,1
387,0.1135,tanh,3.37E-06,0.025232419,0.050089147,677,4,1
388,0.1135,tanh,1.25E-06,0.864773144,0.043053275,122,4,1
389,0.1135,tanh,3.60E-06,0.024611144,0.00868576,101,4,1
390,0.9421,tanh,5.96E-07,0.00012288,0.002665451,448,3,1
391,0.0913,tanh,5.43E-06,0.133765183,0.464062682,111,3,1
392,0.1135,tanh,1.84E-07,0.010339141,0.012902525,512,4,1
393,0.1135,tanh,1.86E-07,0.070484012,0.001023207,104,2,1
394,0.1135,tanh,4.17E-06,0.130325551,0.01428761,730,2,1
395,0.8405,tanh,5.19E-05,0.009653572,0.00571401,318,2,1
396,0.1135,tanh,9.63E-05,0.767214462,0.001288824,175,4,1
397,0.098,tanh,7.67E-07,0.0016466,0.602459968,526,2,1
398,0.4892,tanh,5.53E-07,0.000155215,0.203266364,200,2,1
399,0.945,tanh,1.77E-05,0.000148329,0.002786218,565,4,1
400,0.0892,tanh,1.17E-06,0.038868941,0.616309346,776,2,1
401,0.1135,tanh,4.95E-05,0.121587717,0.002563582,151,4,1
402,0.101,tanh,7.14E-06,0.972228044,0.371046894,671,2,1
403,0.1135,tanh,2.64E-06,0.021091419,0.007063535,333,2,1
404,0.1135,tanh,9.20E-06,0.064426732,0.003824792,201,3,1
405,0.674,tanh,2.34E-06,0.003414777,0.012933751,952,3,1
406,0.1135,tanh,7.46E-06,0.192534371,0.021054928,129,2,1
407,0.1135,tanh,4.45E-07,0.051060723,0.076740089,101,4,1
408,0.0974,tanh,5.25E-07,0.001263301,0.533251089,317,4,1
409,0.1024,tanh,1.07E-06,0.01011999,0.044982953,481,2,1
410,0.1135,tanh,1.03E-05,0.013360473,0.013828058,121,4,1
411,0.0982,tanh,4.88E-07,0.000664555,0.56527,874,4,1
412,0.1135,tanh,6.57E-06,0.10295089,0.013398941,301,4,1
413,0.1135,tanh,4.32E-05,0.223338599,0.009404724,268,4,1
414,0.1135,tanh,1.96E-05,0.17740196,0.007300936,107,3,1
415,0.1135,tanh,1.28E-05,0.016128161,0.045258089,185,3,1
416,0.1135,tanh,2.30E-06,0.164075954,0.004669083,322,2,1
417,0.1135,tanh,3.18E-07,0.017936069,0.002291688,131,4,1
418,0.1028,tanh,1.74E-07,0.215704781,0.109122333,226,3,1
419,0.1135,tanh,2.62E-06,0.095112106,0.012888408,169,3,1
420,0.1009,tanh,3.11E-05,0.842347958,0.154396992,320,2,1
421,0.6871,tanh,3.03E-05,0.000137775,0.111875424,247,4,1
422,0.5135,tanh,3.67E-06,0.008739444,0.019631466,174,3,1
423,0.4476,tanh,2.39E-05,0.007113716,0.017803514,325,3,1
424,0.9426,tanh,2.07E-06,0.000951356,0.004569028,877,3,1
425,0.1135,tanh,4.64E-05,0.038630307,0.001087778,588,3,1
426,0.1135,tanh,4.47E-06,0.075393401,0.002290029,624,2,1
427,0.1135,tanh,7.10E-06,0.035313983,0.002258385,272,4,1
428,0.101,tanh,3.52E-05,0.056542071,0.995667243,419,3,1
429,0.1135,tanh,2.53E-05,0.593021034,0.004813668,314,2,1
430,0.9227,tanh,8.54E-05,0.000310615,0.013676084,566,2,1
431,0.9424,tanh,1.10E-07,0.001534739,0.00187934,964,2,1
432,0.1032,tanh,2.75E-07,0.010836692,0.403928548,106,4,1
433,0.9262,tanh,6.81E-06,0.000191552,0.001666498,242,2,1
434,0.7764,tanh,6.30E-06,0.000540201,0.036120307,285,2,1
435,0.1135,tanh,1.48E-05,0.060361746,0.491537155,303,4,1
436,0.6228,tanh,6.62E-05,0.000939401,0.065706389,531,3,1
437,0.1135,tanh,6.25E-06,0.027428862,0.072113489,109,4,1
438,0.1135,tanh,1.07E-07,0.606874457,0.003322685,999,4,1
439,0.1135,tanh,6.45E-05,0.248303324,0.001905588,309,4,1
440,0.1135,tanh,3.43E-06,0.04040945,0.030199702,722,4,1
441,0.1032,tanh,1.82E-06,0.005829897,0.676369836,141,3,1
442,0.1135,tanh,1.91E-05,0.088597373,0.104451251,230,3,1
443,0.7917,tanh,3.84E-06,0.009849735,0.006130709,358,2,1
444,0.1135,tanh,1.00E-06,0.472219949,0.025260666,339,2,1
445,0.1786,tanh,3.87E-07,0.138022425,0.078563042,729,2,1
446,0.1135,tanh,3.82E-06,0.143516685,0.010792782,209,2,1
447,0.1009,tanh,2.25E-07,0.009083458,0.585668641,242,2,1
448,0.1135,tanh,3.05E-07,0.036691533,0.002995044,214,4,1
449,0.1135,tanh,1.53E-05,0.053230275,0.05184866,908,4,1
450,0.1251,tanh,2.89E-07,0.12579181,0.414302359,298,4,1
451,0.0982,tanh,5.28E-06,0.000121226,0.455252646,396,4,1
452,0.9272,tanh,2.86E-06,0.001760733,0.001456016,754,4,1
453,0.851,tanh,1.79E-05,0.006781851,0.006215446,226,2,1
454,0.8784,tanh,1.24E-05,0.000261999,0.025849548,596,4,1
455,0.1135,tanh,5.69E-05,0.059926782,0.001083583,279,3,1
456,0.1135,tanh,8.93E-06,0.968103533,0.046522154,171,4,1
457,0.4713,tanh,7.02E-07,0.001488373,0.075596292,512,2,1
458,0.9128,tanh,6.80E-06,0.003413156,0.001522744,570,3,1
459,0.1028,tanh,1.54E-07,0.001010097,0.546561008,471,4,1
460,0.8985,tanh,5.79E-07,0.004698328,0.003240547,508,2,1
461,0.6733,tanh,5.41E-07,0.002307311,0.027415568,152,3,1
462,0.1135,tanh,4.42E-06,0.199460869,0.075506631,911,4,1
463,0.1135,tanh,2.72E-07,0.014496874,0.025915356,775,4,1
464,0.1017,tanh,4.41E-05,0.714634854,0.151566666,687,2,1
465,0.1135,tanh,4.02E-06,0.021700411,0.137945053,100,4,1
466,0.1135,tanh,8.90E-06,0.779062306,0.002848327,347,4,1
467,0.0958,tanh,8.34E-05,0.004399497,0.80228609,226,2,1
468,0.7697,tanh,6.66E-05,0.000500182,0.060733241,718,3,1
469,0.1135,tanh,1.68E-07,0.172652949,0.046120721,172,3,1
470,0.8266,tanh,4.45E-05,0.000152875,0.030871875,292,3,1
471,0.1135,tanh,4.07E-07,0.986790096,0.001981022,698,3,1
472,0.0982,tanh,1.52E-06,0.001071162,0.440751114,625,4,1
473,0.9332,tanh,1.89E-05,0.000136152,0.006971972,476,2,1
474,0.9045,tanh,3.15E-05,0.001801875,0.007347784,191,2,1
475,0.1135,tanh,5.88E-05,0.100988118,0.087084447,115,2,1
476,0.1135,tanh,4.21E-07,0.343939111,0.02973831,651,3,1
477,0.6939,tanh,3.62E-05,0.009183534,0.010505584,127,2,1
478,0.1135,tanh,1.54E-07,0.028395248,0.022810617,390,3,1
479,0.1135,tanh,6.97E-07,0.117551248,0.008153112,749,2,1
480,0.1135,tanh,3.15E-06,0.423393536,0.001837181,292,2,1
481,0.9308,tanh,1.43E-06,0.001576872,0.001409771,335,2,1
482,0.1135,tanh,5.88E-07,0.031544941,0.001060555,177,4,1
483,0.9327,tanh,3.13E-06,0.001351059,0.001271294,511,3,1
484,0.1135,tanh,5.11E-05,0.328123422,0.009510194,162,2,1
485,0.1135,tanh,1.34E-06,0.552438541,0.032868272,148,4,1
486,0.8878,tanh,6.95E-05,0.000168353,0.029150552,729,3,1
487,0.1135,tanh,5.60E-06,0.168144058,0.001832158,112,3,1
488,0.101,tanh,1.60E-05,0.022801554,0.573225585,171,3,1
489,0.1135,tanh,1.60E-05,0.012225703,0.030804589,384,4,1
490,0.6028,tanh,1.03E-07,0.001865163,0.024374453,422,4,1
491,0.7164,tanh,4.57E-05,0.006127734,0.011410749,108,4,1
492,0.6631,tanh,1.40E-05,0.00019063,0.035985295,110,3,1
493,0.0974,tanh,1.01E-05,0.968573438,0.665348343,152,2,1
494,0.1135,tanh,1.42E-07,0.011808566,0.141380555,109,3,1
495,0.1135,tanh,7.99E-07,0.548631466,0.00775578,171,3,1
496,0.1135,tanh,1.40E-06,0.101921214,0.010241919,371,2,1
497,0.9196,tanh,1.35E-07,0.001707674,0.002022903,120,3,1
498,0.1135,tanh,4.16E-05,0.035835186,0.005592967,352,3,1
499,0.2789,tanh,1.96E-05,0.000695824,0.183121708,120,3,1
500,0.1063,tanh,2.50E-05,0.051157027,0.416727782,504,3,1
501,0.1306,tanh,3.69E-07,0.246882053,0.194602663,557,2,1
502,0.9192,tanh,4.93E-07,0.001088015,0.00145598,137,4,1
503,0.1135,tanh,4.31E-07,0.086770201,0.025450149,227,3,1
504,0.0979,tanh,1.73E-07,0.246771599,0.261953877,179,3,1
505,0.1135,tanh,1.56E-05,0.095261142,0.024867174,396,3,1
506,0.1135,tanh,4.43E-06,0.012312902,0.088874342,325,3,1
507,0.1135,tanh,6.10E-06,0.738517662,0.001965671,130,3,1
508,0.1135,tanh,5.96E-05,0.034264853,0.012944392,312,4,1
509,0.101,tanh,1.16E-05,0.023744016,0.326951449,990,4,1
510,0.9017,tanh,2.08E-07,0.000323613,0.015947462,926,2,1
511,0.662,tanh,9.92E-05,0.001680355,0.096914279,744,2,1
512,0.101,tanh,5.29E-06,0.016047845,0.121206446,643,4,1
513,0.1135,tanh,5.12E-07,0.184216466,0.001888467,955,3,1
514,0.0892,tanh,2.79E-06,0.000104602,0.957681727,246,2,1
515,0.1135,tanh,2.14E-07,0.342276828,0.008984694,193,4,1
516,0.1135,tanh,5.48E-05,0.058221019,0.205764239,284,3,1
517,0.1971,tanh,2.74E-06,0.001847251,0.362201317,122,4,1
518,0.6893,tanh,2.40E-07,0.002893992,0.019548313,136,3,1
519,0.8945,tanh,2.23E-05,0.000110945,0.009143856,229,4,1
520,0.1047,tanh,1.63E-07,0.12865148,0.601557965,549,4,1
521,0.1135,tanh,2.10E-07,0.019716699,0.136757947,178,2,1
522,0.1135,tanh,6.84E-05,0.412135265,0.610684608,198,4,1
523,0.1009,tanh,7.59E-06,0.807722756,0.147295668,747,3,1
524,0.7377,tanh,1.55E-05,0.020934984,0.00190974,115,2,1
525,0.9324,tanh,6.09E-05,0.000224802,0.001621599,369,2,1
526,0.1032,tanh,4.93E-05,0.001413773,0.599543802,283,2,1
527,0.1135,tanh,5.31E-06,0.019796375,0.060812067,177,4,1
528,0.1135,tanh,2.05E-05,0.017275993,0.00109948,883,3,1
529,0.1135,tanh,5.10E-06,0.008546562,0.803126102,208,4,1
530,0.1135,tanh,3.88E-07,0.626755588,0.002179034,601,3,1
531,0.5667,tanh,5.36E-05,0.00026595,0.098856763,163,4,1
532,0.1135,tanh,5.31E-06,0.968888831,0.023817599,125,2,1
533,0.1135,tanh,9.37E-05,0.051834215,0.124412398,544,2,1
534,0.1135,tanh,7.17E-05,0.035372939,0.62909855,256,3,1
535,0.9432,tanh,4.26E-06,0.000541037,0.002883358,448,4,1
536,0.0974,tanh,3.32E-05,0.729374999,0.138203743,850,3,1
537,0.1941,tanh,1.26E-05,0.005255622,0.199443305,166,4,1
538,0.1135,tanh,6.25E-06,0.017715305,0.011063156,612,3,1
539,0.1135,tanh,6.42E-06,0.016873182,0.003202566,846,4,1
540,0.0892,tanh,6.64E-06,0.001192178,0.25816403,775,3,1
541,0.1135,tanh,1.58E-05,0.141346434,0.002135736,242,3,1
542,0.1363,tanh,3.67E-05,0.121326416,0.268969951,743,2,1
543,0.1135,tanh,5.05E-07,0.056970887,0.007438934,693,4,1
544,0.9289,tanh,2.28E-06,0.001532941,0.003353506,258,4,1
545,0.1135,tanh,5.36E-07,0.634619722,0.00900213,242,3,1
546,0.1135,tanh,6.32E-05,0.250682225,0.003080849,415,4,1
547,0.0982,tanh,5.77E-06,0.004246814,0.536546595,549,2,1
548,0.1009,tanh,1.37E-05,0.000740404,0.784880911,529,3,1
549,0.1135,tanh,2.43E-07,0.008325845,0.30548132,429,4,1
550,0.9114,tanh,1.92E-05,0.000241883,0.010734649,694,4,1
551,0.1135,tanh,1.80E-06,0.325416916,0.00120382,513,4,1
552,0.0982,tanh,2.23E-07,0.000297926,0.188689374,750,2,1
553,0.1135,tanh,8.39E-07,0.025193534,0.002837931,312,3,1
554,0.1135,tanh,6.09E-05,0.022079137,0.001860234,185,3,1
555,0.9321,tanh,4.23E-07,0.000560531,0.009001289,674,4,1
556,0.1135,tanh,5.33E-07,0.007168949,0.597192847,468,2,1
557,0.1135,tanh,3.30E-06,0.036420852,0.021550655,129,4,1
558,0.1135,tanh,3.75E-06,0.056630113,0.166124096,902,3,1
559,0.5796,tanh,1.13E-07,0.000525375,0.061007377,106,3,1
560,0.1037,tanh,3.88E-06,0.053232733,0.251440308,243,2,1
561,0.1135,tanh,1.01E-05,0.126343425,0.002642152,735,2,1
562,0.1028,tanh,5.35E-06,0.00040581,0.476992177,128,4,1
563,0.0942,tanh,6.17E-06,0.54718488,0.207586065,209,3,1
564,0.8697,tanh,3.23E-05,0.000106124,0.018721065,860,4,1
565,0.0974,tanh,3.11E-06,0.121890858,0.747539711,427,4,1
566,0.1135,tanh,1.35E-06,0.237077977,0.09224973,339,4,1
567,0.0587,tanh,1.45E-05,0.780539854,0.049105331,385,3,1
568,0.1135,tanh,7.59E-06,0.016100351,0.064303616,277,2,1
569,0.1135,tanh,3.08E-06,0.065493752,0.019646008,527,4,1
570,0.0892,tanh,5.22E-06,0.000107811,0.823052557,251,3,1
571,0.1135,tanh,2.81E-06,0.052138037,0.001901846,248,2,1
572,0.7892,tanh,9.27E-06,0.000834312,0.028319555,415,3,1
573,0.1103,tanh,2.07E-07,0.074244116,0.669480537,500,4,1
574,0.1032,tanh,1.80E-07,0.796797533,0.467636511,324,2,1
575,0.1009,tanh,9.59E-06,0.191810694,0.656504948,410,3,1
576,0.5003,tanh,1.76E-07,0.003490576,0.036859103,155,4,1
577,0.1032,tanh,3.51E-07,0.049558863,0.390068129,405,2,1
578,0.1032,tanh,8.24E-07,0.012629424,0.178229242,398,4,1
579,0.667,tanh,4.91E-06,0.00382509,0.025984684,110,2,1
580,0.101,tanh,2.86E-06,0.012773897,0.699116494,134,3,1
581,0.1135,tanh,1.25E-06,0.005523672,0.258571294,103,4,1
582,0.7944,tanh,1.04E-06,0.000351201,0.027592026,398,4,1
583,0.9132,tanh,9.08E-05,0.001191293,0.010306694,302,2,1
584,0.1009,tanh,1.80E-06,0.009238434,0.935385461,240,3,1
585,0.9193,tanh,9.17E-07,0.002234654,0.002766,481,3,1
586,0.1135,tanh,8.24E-06,0.313269379,0.006636851,861,4,1
587,0.1135,tanh,1.23E-05,0.056800131,0.003974333,734,2,1
588,0.1135,tanh,3.42E-06,0.077369294,0.018956248,272,4,1
589,0.1135,tanh,1.34E-07,0.024717859,0.001062542,105,3,1
590,0.7479,tanh,5.33E-06,0.000651255,0.02623166,104,3,1
591,0.1135,tanh,1.35E-06,0.069862915,0.140174754,111,2,1
592,0.1028,tanh,1.17E-05,0.484241366,0.233557045,288,2,1
593,0.0892,tanh,5.82E-05,0.417928124,0.444328863,568,4,1
594,0.1089,tanh,3.59E-05,0.653641517,0.115344566,101,2,1
595,0.9016,tanh,1.12E-05,0.002607839,0.002359679,771,3,1
596,0.1135,tanh,2.24E-07,0.471360205,0.028043613,231,4,1
597,0.1135,tanh,1.25E-07,0.102302329,0.033893461,178,4,1
598,0.9404,tanh,2.37E-06,0.000665543,0.002101106,574,4,1
599,0.8532,tanh,1.29E-06,0.000937375,0.012390506,405,3,1
600,0.1135,tanh,8.43E-06,0.679656964,0.015633955,102,2,1
601,0.1135,tanh,3.12E-05,0.446082179,0.002483472,717,4,1
602,0.1135,tanh,1.70E-06,0.000499079,0.892959518,409,2,1
603,0.1135,tanh,5.80E-06,0.077128644,0.018368312,249,4,1
604,0.1135,tanh,3.47E-06,0.032980254,0.005536057,109,4,1
605,0.0958,tanh,8.11E-05,0.002372627,0.868005123,152,4,1
606,0.0827,tanh,4.51E-07,0.557894394,0.096243226,387,2,1
607,0.1135,tanh,1.05E-07,0.312834902,0.01041791,311,3,1
608,0.1135,tanh,2.82E-05,0.33358405,0.002562654,181,2,1
609,0.217,tanh,6.86E-05,0.002447696,0.155032292,101,4,1
610,0.1135,tanh,8.35E-07,0.00591479,0.257521068,813,4,1
611,0.842,tanh,4.77E-05,0.00596999,0.006711944,132,2,1
612,0.1135,tanh,5.30E-07,0.002922596,0.244521664,501,4,1
613,0.1028,tanh,6.95E-06,0.018053223,0.242794269,117,3,1
614,0.8984,tanh,9.39E-06,0.002916246,0.001406955,846,4,1
615,0.9135,tanh,8.53E-06,0.000181065,0.004381333,209,4,1
616,0.1135,tanh,2.87E-05,0.148278183,0.055393685,376,3,1
617,0.1135,tanh,1.49E-05,0.495952294,0.048879258,285,4,1
618,0.1135,tanh,2.43E-05,0.334710431,0.101812426,373,4,1
619,0.1395,tanh,4.44E-05,0.141255424,0.158792586,561,2,1
620,0.1028,tanh,1.18E-07,0.000133347,0.681638289,193,2,1
621,0.1135,tanh,8.74E-06,0.046784027,0.00409491,150,3,1
622,0.1009,tanh,7.60E-05,0.003148269,0.877434803,587,3,1
623,0.1135,tanh,8.78E-05,0.020760462,0.613242433,752,2,1
624,0.8679,tanh,2.63E-06,0.001373545,0.008693981,284,4,1
625,0.0552,tanh,4.18E-05,0.246614904,0.086662498,863,3,1
626,0.9214,tanh,3.93E-07,0.001986154,0.001784452,129,2,1
627,0.9404,tanh,4.11E-07,0.000343657,0.003181053,500,4,1
628,0.8244,tanh,1.05E-06,0.000153299,0.013535537,144,4,1
629,0.1135,tanh,5.21E-06,0.459165781,0.014825657,477,4,1
630,0.9353,tanh,2.25E-05,0.000980916,0.006670329,881,2,1
631,0.7501,tanh,3.25E-05,0.000379075,0.060046623,342,3,1
632,0.1129,tanh,7.70E-05,0.313192649,0.2509112,209,2,1
633,0.098,tanh,2.70E-07,0.712426383,0.999728472,204,2,1
634,0.9235,tanh,9.50E-06,0.001656089,0.003193063,823,3,1
635,0.098,tanh,4.66E-07,0.000755371,0.406902539,349,3,1
636,0.4942,tanh,8.82E-06,0.000141084,0.194454228,115,2,1
637,0.1135,tanh,1.78E-05,0.024267309,0.026862377,380,3,1
638,0.0958,tanh,3.41E-06,0.000493666,0.281055688,500,4,1
639,0.1135,tanh,7.85E-05,0.347204788,0.084973462,126,4,1
640,0.1009,tanh,2.52E-06,0.000951916,0.699300134,892,2,1
641,0.1135,tanh,2.85E-07,0.041827954,0.014668777,477,4,1
642,0.0982,tanh,2.18E-05,0.25396421,0.603703084,372,4,1
643,0.1009,tanh,4.91E-07,0.006140878,0.42652867,122,2,1
644,0.1135,tanh,1.50E-05,0.243052213,0.007943961,503,4,1
645,0.0982,tanh,3.03E-05,0.005282619,0.48030642,416,2,1
646,0.3016,tanh,5.27E-05,0.001804249,0.195457286,256,3,1
647,0.4096,tanh,7.74E-07,0.002075895,0.076834671,205,3,1
648,0.1135,tanh,3.84E-07,0.188888372,0.029722679,200,2,1
649,0.101,tanh,3.98E-05,0.002990885,0.646943064,882,2,1
650,0.63,tanh,4.49E-05,0.008588312,0.003582712,162,4,1
651,0.0974,tanh,2.90E-05,0.056145353,0.578996029,553,2,1
652,0.1135,tanh,7.69E-06,0.222289988,0.006208864,124,4,1
653,0.1135,tanh,1.40E-07,0.391861724,0.005167877,193,2,1
654,0.1135,tanh,1.14E-07,0.026271707,0.032565719,163,4,1
655,0.1135,tanh,1.33E-05,0.015589998,0.079034347,948,3,1
656,0.8098,tanh,6.35E-05,0.002450757,0.013542448,114,2,1
657,0.8363,tanh,1.56E-05,0.00032614,0.020391256,364,2,1
658,0.3352,tanh,1.01E-06,0.008923477,0.001674454,413,3,1
659,0.9372,tanh,4.16E-05,0.001172955,0.00328215,979,4,1
660,0.0892,tanh,2.60E-07,0.003395045,0.562539216,135,4,1
661,0.1135,tanh,1.24E-05,0.019101555,0.067574682,231,2,1
662,0.6659,tanh,1.26E-07,0.00134944,0.034130694,384,2,1
663,0.1135,tanh,2.47E-05,0.022999202,0.051045018,587,2,1
664,0.1135,tanh,1.18E-05,0.152818506,0.095810692,224,3,1
665,0.895,tanh,8.48E-05,0.004455458,0.003229042,993,2,1
666,0.1135,tanh,4.54E-05,0.720669368,0.001967201,560,4,1
667,0.7369,tanh,3.71E-07,0.000188636,0.052725137,556,2,1
668,0.9204,tanh,3.45E-06,0.001780314,0.003450599,153,2,1
669,0.1135,tanh,7.92E-05,0.041432423,0.002616995,145,3,1
670,0.1135,tanh,8.49E-07,0.009701824,0.002058059,626,3,1
671,0.1135,tanh,5.13E-06,0.702343958,0.001077508,146,4,1
672,0.8048,tanh,1.05E-07,0.0006958,0.02259928,304,2,1
673,0.1032,tanh,5.57E-07,0.01688542,0.324804663,772,2,1
674,0.1135,tanh,1.77E-05,0.605051767,0.016077965,563,4,1
675,0.1136,tanh,1.59E-06,0.460087294,0.031781262,278,2,1
676,0.1135,tanh,3.90E-06,0.00016195,0.553918822,314,4,1
677,0.7278,tanh,9.67E-06,0.000233497,0.028867104,114,3,1
678,0.6743,tanh,9.02E-06,0.012265723,0.002355076,117,3,1
679,0.6728,tanh,9.43E-05,0.002084153,0.079255882,311,2,1
680,0.9169,tanh,3.48E-06,0.003236201,0.001805966,895,2,1
681,0.4529,tanh,2.16E-07,0.000326865,0.168934753,352,4,1
682,0.1135,tanh,5.32E-06,0.259980952,0.627420704,311,3,1
683,0.8975,tanh,5.34E-06,0.002487357,0.003435123,339,4,1
684,0.1135,tanh,6.20E-07,0.133552482,0.026209305,263,2,1
685,0.9353,tanh,1.48E-07,0.000275441,0.007586626,801,3,1
686,0.1135,tanh,3.23E-06,0.540268986,0.004173797,717,4,1
687,0.0958,tanh,7.56E-06,0.717119085,0.601921389,703,4,1
688,0.9071,tanh,5.87E-07,0.000676905,0.003231526,136,3,1
689,0.9414,tanh,2.02E-05,0.001512115,0.002837254,531,2,1
690,0.8868,tanh,1.34E-07,0.00257887,0.003534355,851,3,1
691,0.1135,tanh,2.86E-06,0.13151918,0.018662075,675,3,1
692,0.1135,tanh,2.53E-06,0.07383432,0.276385765,143,4,1
693,0.8823,tanh,1.00E-07,0.000171801,0.018868636,526,3,1
694,0.9066,tanh,6.30E-05,0.003151245,0.003270798,240,4,1
695,0.8911,tanh,1.30E-06,0.000265008,0.008512739,407,3,1
696,0.1135,tanh,1.04E-06,0.012888035,0.004546509,394,4,1
697,0.1135,tanh,5.07E-07,0.468531066,0.001064078,498,3,1
698,0.8815,tanh,3.75E-06,0.000428674,0.009360663,263,4,1
699,0.1135,tanh,2.72E-06,0.008357926,0.042380324,849,4,1
700,0.1135,tanh,5.51E-05,0.111461607,0.004177279,253,4,1
701,0.8917,tanh,2.70E-06,0.001153312,0.008348851,236,2,1
702,0.1135,tanh,3.73E-05,0.014977513,0.51182609,911,4,1
703,0.5858,tanh,1.10E-05,0.002960917,0.026919817,154,3,1
704,0.9314,tanh,8.62E-05,0.000297765,0.002172487,222,2,1
705,0.1135,tanh,1.64E-06,0.023878111,0.097878553,428,3,1
706,0.8251,tanh,8.94E-06,0.001332721,0.013913883,300,3,1
707,0.1135,tanh,9.93E-05,0.040903092,0.143722106,768,3,1
708,0.9379,tanh,7.91E-06,0.000309052,0.002594926,297,3,1
709,0.1032,tanh,1.70E-06,0.496887794,0.354240366,111,3,1
710,0.7901,tanh,2.24E-06,0.000255302,0.038573386,350,4,1
711,0.8733,tanh,2.34E-06,0.000105341,0.010016391,191,4,1
712,0.1135,tanh,4.02E-06,0.172044148,0.016115971,391,4,1
713,0.5047,tanh,4.81E-06,0.018602708,0.00828451,134,2,1
714,0.7255,tanh,1.50E-06,0.000998358,0.020967926,913,2,1
715,0.101,tanh,4.63E-06,0.424548987,0.244694463,249,4,1
716,0.1135,tanh,3.31E-06,0.136680258,0.002373709,606,3,1
717,0.098,tanh,1.01E-05,0.002092869,0.174893623,881,3,1
718,0.1135,tanh,3.00E-07,0.079318983,0.007834986,231,2,1
719,0.0892,tanh,6.84E-05,0.000579245,0.551256326,174,3,1
720,0.8866,tanh,4.09E-06,0.000249317,0.009129189,219,4,1
721,0.098,tanh,3.23E-07,0.00121372,0.692526168,135,4,1
722,0.0875,tanh,1.46E-07,0.089562938,0.996992795,162,3,1
723,0.7743,tanh,2.17E-07,0.000669821,0.021170326,175,4,1
724,0.0974,tanh,1.59E-06,0.001870735,0.418534381,457,3,1
725,0.9344,tanh,4.18E-05,0.000166593,0.012895294,985,2,1
726,0.0611,tanh,7.23E-07,0.186761106,0.535742973,148,4,1
727,0.9308,tanh,8.00E-06,0.002421546,0.001567423,981,2,1
728,0.1135,tanh,1.98E-07,0.206995977,0.010127173,180,4,1
729,0.5432,tanh,6.06E-07,0.006345417,0.002061689,311,4,1
730,0.8811,tanh,1.77E-05,0.003511161,0.004331239,226,3,1
731,0.0958,tanh,6.09E-07,0.006089294,0.264103412,618,2,1
732,0.4756,tanh,4.03E-05,0.002154479,0.056329011,644,3,1
733,0.6666,tanh,2.14E-07,0.001073419,0.040020835,528,2,1
734,0.1135,tanh,2.17E-07,0.083821744,0.007470613,173,3,1
735,0.1135,tanh,1.15E-07,0.800496292,0.643449593,157,4,1
736,0.4289,tanh,1.64E-06,0.001724864,0.059552346,536,4,1
737,0.1135,tanh,5.33E-07,0.007376067,0.001937431,846,3,1
738,0.0529,tanh,2.43E-06,0.092043296,0.401479991,323,3,1
739,0.5787,tanh,5.62E-07,0.006016338,0.008587287,721,3,1
740,0.0995,tanh,1.48E-06,0.327437812,0.49052296,140,2,1
741,0.7145,tanh,7.81E-05,0.000198334,0.136999676,512,4,1
742,0.5518,tanh,2.16E-07,0.001169483,0.031231834,117,3,1
743,0.1135,tanh,5.55E-05,0.18182874,0.010302063,524,3,1
744,0.101,tanh,1.30E-07,0.012834948,0.567135164,292,4,1
745,0.1135,tanh,2.18E-07,0.044041206,0.0141378,231,3,1
746,0.1135,tanh,7.86E-05,0.042263144,0.037240137,202,3,1
747,0.1135,tanh,5.82E-07,0.26801453,0.00137608,845,3,1
748,0.1135,tanh,1.56E-06,0.161800085,0.023998267,440,4,1
749,0.3288,tanh,3.18E-07,0.012075362,0.008445922,170,3,1
750,0.3129,tanh,3.55E-06,0.000131596,0.166515966,106,2,1
751,0.098,tanh,2.81E-05,0.02086409,0.593369487,382,2,1
752,0.098,tanh,4.05E-07,0.002973309,0.589328479,131,3,1
753,0.1032,tanh,2.97E-06,0.000952623,0.908472097,904,2,1
754,0.1135,tanh,1.78E-05,0.092861777,0.003046759,355,4,1
755,0.1135,tanh,4.65E-05,0.011282167,0.045695464,736,2,1
756,0.098,tanh,1.30E-05,0.221793939,0.570996775,701,2,1
757,0.8443,tanh,2.88E-06,0.000512775,0.027527644,559,2,1
758,0.101,tanh,1.70E-07,0.000511878,0.614513916,375,3,1
759,0.9024,tanh,4.89E-07,0.006147884,0.001184466,219,3,1
760,0.1135,tanh,3.87E-05,0.008416614,0.086992727,111,4,1
761,0.1135,tanh,2.85E-05,0.033076291,0.00103025,120,3,1
762,0.7312,tanh,7.47E-07,0.000758772,0.042406238,390,4,1
763,0.1009,tanh,1.35E-05,0.885212298,0.382115695,118,3,1
764,0.0958,tanh,1.00E-07,0.020482473,0.600993578,502,2,1
765,0.098,tanh,3.13E-06,0.125395768,0.624320377,758,3,1
766,0.4096,tanh,1.05E-07,0.002514803,0.053527471,194,4,1
767,0.1135,tanh,1.84E-06,0.046469209,0.001393374,435,2,1
768,0.1135,tanh,9.28E-07,0.854195951,0.008001912,151,2,1
769,0.1135,tanh,6.08E-05,0.353428652,0.007099787,266,4,1
770,0.1135,tanh,3.03E-06,0.655563325,0.042321057,221,4,1
771,0.1032,tanh,3.58E-05,0.000253177,0.631016449,161,4,1
