,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
88,0.8602,tanh,4.89E-05,0.008674938,0.003295648,398,2,1
89,0.1135,tanh,1.01E-05,0.037973698,0.007828731,283,4,1
90,0.0982,tanh,2.76E-06,0.000183971,0.253635468,436,3,1
91,0.6899,tanh,4.66E-07,0.000191296,0.099356383,201,2,1
92,0.8569,tanh,3.68E-06,0.000197167,0.019106275,592,2,1
93,0.2933,tanh,6.83E-05,0.000677069,0.258476797,168,4,1
94,0.9305,tanh,1.90E-06,0.000123572,0.004259442,472,3,1
95,0.0892,tanh,2.71E-07,0.001634887,0.738293843,178,2,1
96,0.6955,tanh,7.43E-06,0.003804175,0.014930343,191,3,1
97,0.1135,tanh,9.65E-07,0.008611097,0.001943885,419,4,1
98,0.8879,tanh,1.49E-05,0.000325319,0.013123986,366,4,1
99,0.7973,tanh,2.54E-06,0.000361164,0.050637244,905,2,1
100,0.1135,tanh,5.45E-07,0.117780019,0.04771738,129,3,1
101,0.1135,tanh,1.16E-05,0.13911934,0.010061837,450,2,1
102,0.1135,tanh,4.72E-05,0.024221183,0.003309434,598,4,1
103,0.098,tanh,2.01E-07,0.001362624,0.391436532,509,4,1
104,0.0982,tanh,8.75E-05,0.869160232,0.380473184,390,3,1
105,0.1509,tanh,7.03E-05,0.009074742,0.069790157,426,2,1
106,0.4553,tanh,7.42E-05,0.000890974,0.165225421,131,2,1
107,0.9019,tanh,2.70E-06,0.002669813,0.002405448,723,3,1
108,0.1135,tanh,2.52E-07,0.068367395,0.002642164,144,2,1
109,0.8599,tanh,3.64E-06,0.000173256,0.021932041,664,3,1
110,0.1965,tanh,4.57E-07,0.014271225,0.101265377,104,2,1
111,0.6811,tanh,1.26E-05,0.005994481,0.00330677,628,3,1
112,0.1135,tanh,5.60E-06,0.024256722,0.005991333,424,3,1
113,0.9112,tanh,1.98E-07,0.000166386,0.00505405,188,3,1
114,0.5243,tanh,5.30E-05,0.000192056,0.087151618,108,3,1
115,0.9244,tanh,3.03E-07,0.001934148,0.001278413,197,3,1
116,0.8752,tanh,2.33E-06,0.00015711,0.016180278,507,2,1
117,0.7221,tanh,7.14E-06,0.00010674,0.043610625,214,4,1
118,0.098,tanh,4.88E-05,0.009759304,0.378204349,372,3,1
119,0.1135,tanh,8.15E-05,0.052094922,0.041633624,683,2,1
120,0.1032,tanh,6.20E-06,0.007521406,0.686284588,958,4,1
121,0.1135,tanh,8.65E-07,0.048721762,0.008670569,608,2,1
122,0.1135,tanh,4.41E-05,0.031295554,0.042977095,212,4,1
123,0.9114,tanh,5.49E-07,0.004388466,0.00140213,185,4,1
124,0.9105,tanh,6.10E-05,0.000350367,0.001576898,104,2,1
125,0.7385,tanh,4.51E-06,0.000529899,0.067738772,491,3,1
126,0.1135,tanh,2.49E-07,0.025186502,0.038516453,265,4,1
