,accuracy,basis_type,lambda,learning,n_basis,shrink
117,0.733999968,identity,0.315624866,0.009805812,1,1
118,0.787500024,identity,0.29793245,0.383504071,1,1
119,0.72240001,identity,0.139182433,0.003615261,1,1
120,0.09799999,identity,0.066136999,0.493674498,1,2
121,0.576599896,identity,0.152027208,0.003351283,1,1
122,0.098000005,identity,0.052695783,0.089488574,1,2
123,0.419899881,identity,1.316231802,0.07254446,1,2
124,0.811200142,identity,0.19421019,0.297069368,1,2
125,0.09799999,identity,0.07338942,0.163848982,1,1
126,0.09799999,identity,0.032336598,0.001094822,1,2
127,0.335799932,identity,2.624095774,0.057423645,1,1
128,0.654899895,identity,2.578448037,0.015136743,1,2
129,0.270099968,identity,1.14072367,0.928898137,1,2
130,0.440599889,identity,2.525233078,0.048193211,1,2
131,0.098000005,identity,0.019918409,0.502685724,1,2
132,0.793600082,identity,1.940808253,0.003270081,1,1
133,0.098000005,identity,0.065566855,0.004018976,1,2
134,0.831500053,identity,0.212078033,0.145319086,1,1
135,0.09799999,identity,3.521070722,0.152063102,1,2
136,0.672399938,identity,1.295087481,0.004671174,1,2
137,0.57919991,identity,2.325724601,0.061354317,1,1
138,0.754099965,identity,0.755832809,0.002231695,1,2
139,0.821800053,identity,9.690808118,0.007733813,1,1
140,0.517199934,identity,0.958782148,0.15951825,1,1
141,0.686800003,identity,0.47142164,0.005430352,1,2
142,0.098000005,identity,0.02093473,0.012125468,1,2
143,0.789900005,identity,4.049911818,0.004141298,1,1
144,0.09799999,identity,0.069142363,0.040102743,1,2
145,0.69419992,identity,0.771683625,0.00146578,1,2
146,0.711599946,identity,0.332891067,0.111934221,1,1
147,0.543699861,identity,1.135088536,0.662699526,1,1
148,0.612399876,identity,0.115796306,0.026164522,1,1
149,0.09799999,identity,0.038929004,0.20783893,1,1
150,0.461899936,identity,1.042255468,0.022969578,1,2
151,0.09799999,identity,3.283076776,0.140916853,1,1
152,0.098000005,identity,7.282274158,0.014347463,1,1
153,0.751900077,identity,1.268041305,0.001958846,1,2
154,0.849400043,identity,0.092937619,0.018938534,1,1
155,0.09799999,identity,5.894515996,0.03865402,1,1
156,0.09799999,identity,0.013751358,0.00292035,1,1
157,0.09799999,identity,0.014161887,0.016271615,1,2
158,0.09799999,identity,2.175130249,0.514392016,1,1
159,0.09799999,identity,4.842126465,0.41630646,1,2
160,0.09799999,identity,0.05646543,0.717953613,1,2
161,0.09799999,identity,3.169519475,0.064184965,1,2
162,0.09799999,identity,0.045730974,0.01052433,1,1
163,0.09799999,identity,0.024917642,0.295463077,1,1
164,0.582599878,identity,0.29441359,0.001541757,1,2
165,0.09799999,identity,0.012521437,0.00149695,1,1
166,0.738099933,identity,9.975136951,0.002304039,1,1
167,0.64259994,identity,9.633688775,0.001078134,1,1
168,0.098000005,identity,0.021906379,0.267064872,1,2
169,0.09799999,identity,0.011798926,0.232138815,1,1
170,0.802699983,identity,0.108697454,0.340193816,1,2
171,0.643899918,identity,0.448633609,0.028850301,1,1
172,0.09799999,identity,0.022597877,0.107529618,1,2
173,0.739400029,identity,3.055492334,0.006480555,1,2
174,0.790500045,identity,1.587042507,0.003389355,1,1
175,0.683899939,identity,0.110851784,0.134444643,1,2
176,0.730999947,identity,0.268685234,0.154438693,1,2
177,0.098000005,identity,0.030453255,0.314366374,1,1
178,0.098000005,identity,0.052877703,0.167607796,1,1
179,0.746000051,identity,0.562399473,0.002586787,1,1
180,0.09799999,identity,0.080421712,0.240459436,1,1
181,0.09799999,identity,0.029723071,0.001324579,1,1
182,0.815199971,identity,0.232943891,0.191368449,1,2
183,0.50639987,identity,1.78383276,0.056211743,1,1
184,0.09799999,identity,0.017509896,0.154665408,1,2
185,0.09799999,identity,3.357914124,0.587967019,1,1
186,0.098000005,identity,7.671341918,0.087959858,1,2
187,0.728299975,identity,0.403664847,0.095444824,1,1
188,0.09799999,identity,0.010126391,0.001070421,1,2
189,0.098000005,identity,0.071096011,0.456004112,1,2
190,0.098000005,identity,8.636145768,0.051145232,1,1
191,0.745499969,identity,8.126420398,0.002427543,1,1
192,0.752400041,identity,0.18108428,0.15312945,1,2
193,0.098000005,identity,0.039654427,0.001224834,1,1
194,0.447599888,identity,1.30197426,0.008551355,1,2
195,0.09799999,identity,2.948119224,0.093882739,1,2
196,0.65019995,identity,0.192034207,0.001290549,1,2
197,0.098000005,identity,5.540379713,0.211192444,1,2
198,0.098000005,identity,0.071585727,0.04917272,1,1
199,0.09799999,identity,5.664032427,0.8316387,1,2
200,0.664799929,identity,0.484703163,0.426068981,1,2
