,accuracy,basis_type,lambda,learning,n_basis,shrink
57,0.8296000361442566,identity,0.46415888336127775,0.21544346900318823,1.0,1.0
58,0.7268999218940735,identity,0.46415888336127775,0.46415888336127775,1.0,1.0
59,0.8233000636100769,identity,0.46415888336127775,1.0,1.0,1.0
60,0.6152999401092529,identity,1.0,0.001,1.0,1.0
61,0.7453000545501709,identity,1.0,0.0021544346900318843,1.0,1.0
62,0.7635999917984009,identity,1.0,0.004641588833612777,1.0,1.0
63,0.7049000263214111,identity,1.0,0.01,1.0,1.0
64,0.6291999816894531,identity,1.0,0.021544346900318832,1.0,1.0
65,0.5124999284744263,identity,1.0,0.046415888336127774,1.0,1.0
66,0.6117998957633972,identity,1.0,0.1,1.0,1.0
67,0.6484999060630798,identity,1.0,0.21544346900318823,1.0,1.0
68,0.6499999761581421,identity,1.0,0.46415888336127775,1.0,1.0
69,0.578299880027771,identity,1.0,1.0,1.0,1.0
70,0.6012998819351196,identity,2.154434690031882,0.001,1.0,1.0
71,0.7479000091552734,identity,2.154434690031882,0.0021544346900318843,1.0,1.0
72,0.7636000514030457,identity,2.154434690031882,0.004641588833612777,1.0,1.0
73,0.7065999507904053,identity,2.154434690031882,0.01,1.0,1.0
74,0.7718999981880188,identity,2.154434690031882,0.021544346900318832,1.0,1.0
75,0.39069992303848267,identity,2.154434690031882,0.046415888336127774,1.0,1.0
76,0.45789986848831177,identity,2.154434690031882,0.1,1.0,1.0
77,0.34129995107650757,identity,2.154434690031882,0.21544346900318823,1.0,1.0
78,0.09800000488758087,identity,2.154434690031882,0.46415888336127775,1.0,1.0
79,0.09799998998641968,identity,2.154434690031882,1.0,1.0,1.0
80,0.6336999535560608,identity,4.6415888336127775,0.001,1.0,1.0
81,0.7333999276161194,identity,4.6415888336127775,0.0021544346900318843,1.0,1.0
82,0.7831000089645386,identity,4.6415888336127775,0.004641588833612777,1.0,1.0
83,0.7761000394821167,identity,4.6415888336127775,0.01,1.0,1.0
84,0.5891999006271362,identity,4.6415888336127775,0.021544346900318832,1.0,1.0
85,0.09800000488758087,identity,4.6415888336127775,0.046415888336127774,1.0,1.0
86,0.09799998998641968,identity,4.6415888336127775,0.1,1.0,1.0
