,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
437,0.5154,tanh,1.00E-06,0.01,0.01,1000,2,1
438,0.6159,tanh,1.00E-05,0.01,0.01,1000,2,1
439,0.6806,tanh,0.0001,0.01,0.01,1000,2,1
440,0.0958,tanh,1.00E-07,0.01,0.1,1000,2,1
441,0.101,tanh,1.00E-06,0.01,0.1,1000,2,1
442,0.1921,tanh,1.00E-05,0.01,0.1,1000,2,1
443,0.1135,tanh,0.0001,0.01,0.1,1000,2,1
444,0.1132,tanh,1.00E-07,0.01,1,1000,2,1
445,0.1135,tanh,1.00E-06,0.01,1,1000,2,1
446,0.0974,tanh,1.00E-05,0.01,1,1000,2,1
447,0.101,tanh,0.0001,0.01,1,1000,2,1
448,0.8906,tanh,1.00E-07,0.01,0.001,100,3,1
449,0.8778,tanh,1.00E-06,0.01,0.001,100,3,1
450,0.8828,tanh,1.00E-05,0.01,0.001,100,3,1
451,0.8966,tanh,0.0001,0.01,0.001,100,3,1
452,0.585,tanh,1.00E-07,0.01,0.01,100,3,1
453,0.6216,tanh,1.00E-06,0.01,0.01,100,3,1
454,0.5973,tanh,1.00E-05,0.01,0.01,100,3,1
455,0.6695,tanh,0.0001,0.01,0.01,100,3,1
456,0.1135,tanh,1.00E-07,0.01,0.1,100,3,1
457,0.1135,tanh,1.00E-06,0.01,0.1,100,3,1
458,0.1135,tanh,1.00E-05,0.01,0.1,100,3,1
459,0.101,tanh,0.0001,0.01,0.1,100,3,1
460,0.101,tanh,1.00E-07,0.01,1,100,3,1
461,0.1032,tanh,1.00E-06,0.01,1,100,3,1
462,0.0974,tanh,1.00E-05,0.01,1,100,3,1
463,0.1009,tanh,0.0001,0.01,1,100,3,1
464,0.8318,tanh,1.00E-07,0.01,0.001,215,3,1
465,0.8244,tanh,1.00E-06,0.01,0.001,215,3,1
466,0.8459,tanh,1.00E-05,0.01,0.001,215,3,1
467,0.8898,tanh,0.0001,0.01,0.001,215,3,1
468,0.4929,tanh,1.00E-07,0.01,0.01,215,3,1
469,0.3286,tanh,1.00E-06,0.01,0.01,215,3,1
470,0.5306,tanh,1.00E-05,0.01,0.01,215,3,1
471,0.5532,tanh,0.0001,0.01,0.01,215,3,1
472,0.1135,tanh,1.00E-07,0.01,0.1,215,3,1
473,0.1135,tanh,1.00E-06,0.01,0.1,215,3,1
474,0.1135,tanh,1.00E-05,0.01,0.1,215,3,1
475,0.1135,tanh,0.0001,0.01,0.1,215,3,1
476,0.0974,tanh,1.00E-07,0.01,1,215,3,1
477,0.101,tanh,1.00E-06,0.01,1,215,3,1
478,0.101,tanh,1.00E-05,0.01,1,215,3,1
479,0.1009,tanh,0.0001,0.01,1,215,3,1
480,0.1846,tanh,1.00E-07,0.01,0.001,464,3,1
481,0.1879,tanh,1.00E-06,0.01,0.001,464,3,1
482,0.2101,tanh,1.00E-05,0.01,0.001,464,3,1
483,0.7366,tanh,0.0001,0.01,0.001,464,3,1
484,0.1135,tanh,1.00E-07,0.01,0.01,464,3,1
485,0.1135,tanh,1.00E-06,0.01,0.01,464,3,1
486,0.1135,tanh,1.00E-05,0.01,0.01,464,3,1
487,0.1135,tanh,0.0001,0.01,0.01,464,3,1
488,0.1135,tanh,1.00E-07,0.01,0.1,464,3,1
489,0.1135,tanh,1.00E-06,0.01,0.1,464,3,1
490,0.1135,tanh,1.00E-05,0.01,0.1,464,3,1
491,0.1135,tanh,0.0001,0.01,0.1,464,3,1
492,0.0892,tanh,1.00E-07,0.01,1,464,3,1
493,0.1032,tanh,1.00E-06,0.01,1,464,3,1
494,0.101,tanh,1.00E-05,0.01,1,464,3,1
495,0.0958,tanh,0.0001,0.01,1,464,3,1
496,0.1135,tanh,1.00E-07,0.01,0.001,1000,3,1
497,0.1135,tanh,1.00E-06,0.01,0.001,1000,3,1
498,0.1135,tanh,1.00E-05,0.01,0.001,1000,3,1
499,0.1135,tanh,0.0001,0.01,0.001,1000,3,1
500,0.1135,tanh,1.00E-07,0.01,0.01,1000,3,1
501,0.1135,tanh,1.00E-06,0.01,0.01,1000,3,1
502,0.1135,tanh,1.00E-05,0.01,0.01,1000,3,1
503,0.1135,tanh,0.0001,0.01,0.01,1000,3,1
504,0.1135,tanh,1.00E-07,0.01,0.1,1000,3,1
505,0.1135,tanh,1.00E-06,0.01,0.1,1000,3,1
506,0.1135,tanh,1.00E-05,0.01,0.1,1000,3,1
507,0.1135,tanh,0.0001,0.01,0.1,1000,3,1
508,0.101,tanh,1.00E-07,0.01,1,1000,3,1
509,0.101,tanh,1.00E-06,0.01,1,1000,3,1
510,0.0958,tanh,1.00E-05,0.01,1,1000,3,1
511,0.101,tanh,0.0001,0.01,1,1000,3,1
512,0.8371,tanh,1.00E-07,0.01,0.001,100,4,1
513,0.8453,tanh,1.00E-06,0.01,0.001,100,4,1
514,0.8416,tanh,1.00E-05,0.01,0.001,100,4,1
515,0.8702,tanh,0.0001,0.01,0.001,100,4,1
516,0.4909,tanh,1.00E-07,0.01,0.01,100,4,1
517,0.4735,tanh,1.00E-06,0.01,0.01,100,4,1
518,0.4919,tanh,1.00E-05,0.01,0.01,100,4,1
519,0.5776,tanh,0.0001,0.01,0.01,100,4,1
520,0.1135,tanh,1.00E-07,0.01,0.1,100,4,1
521,0.1032,tanh,1.00E-06,0.01,0.1,100,4,1
522,0.1135,tanh,1.00E-05,0.01,0.1,100,4,1
523,0.1135,tanh,0.0001,0.01,0.1,100,4,1
524,0.1009,tanh,1.00E-07,0.01,1,100,4,1
525,0.101,tanh,1.00E-06,0.01,1,100,4,1
526,0.0982,tanh,1.00E-05,0.01,1,100,4,1
527,0.1032,tanh,0.0001,0.01,1,100,4,1
528,0.691,tanh,1.00E-07,0.01,0.001,215,4,1
529,0.6783,tanh,1.00E-06,0.01,0.001,215,4,1
530,0.6644,tanh,1.00E-05,0.01,0.001,215,4,1
531,0.8221,tanh,0.0001,0.01,0.001,215,4,1
532,0.1135,tanh,1.00E-07,0.01,0.01,215,4,1
533,0.1135,tanh,1.00E-06,0.01,0.01,215,4,1
534,0.1135,tanh,1.00E-05,0.01,0.01,215,4,1
535,0.1135,tanh,0.0001,0.01,0.01,215,4,1
536,0.1135,tanh,1.00E-07,0.01,0.1,215,4,1
537,0.1135,tanh,1.00E-06,0.01,0.1,215,4,1
538,0.1135,tanh,1.00E-05,0.01,0.1,215,4,1
539,0.1135,tanh,0.0001,0.01,0.1,215,4,1
540,0.0974,tanh,1.00E-07,0.01,1,215,4,1
541,0.098,tanh,1.00E-06,0.01,1,215,4,1
542,0.1028,tanh,1.00E-05,0.01,1,215,4,1
543,0.101,tanh,0.0001,0.01,1,215,4,1
544,0.1135,tanh,1.00E-07,0.01,0.001,464,4,1
545,0.1135,tanh,1.00E-06,0.01,0.001,464,4,1
546,0.1135,tanh,1.00E-05,0.01,0.001,464,4,1
547,0.5922,tanh,0.0001,0.01,0.001,464,4,1
548,0.1135,tanh,1.00E-07,0.01,0.01,464,4,1
549,0.1135,tanh,1.00E-06,0.01,0.01,464,4,1
550,0.1135,tanh,1.00E-05,0.01,0.01,464,4,1
551,0.1135,tanh,0.0001,0.01,0.01,464,4,1
552,0.1135,tanh,1.00E-07,0.01,0.1,464,4,1
553,0.1135,tanh,1.00E-06,0.01,0.1,464,4,1
554,0.1135,tanh,1.00E-05,0.01,0.1,464,4,1
555,0.1028,tanh,0.0001,0.01,0.1,464,4,1
556,0.0982,tanh,1.00E-07,0.01,1,464,4,1
557,0.1009,tanh,1.00E-06,0.01,1,464,4,1
558,0.0974,tanh,1.00E-05,0.01,1,464,4,1
559,0.101,tanh,0.0001,0.01,1,464,4,1
560,0.1135,tanh,1.00E-07,0.01,0.001,1000,4,1
561,0.1135,tanh,1.00E-06,0.01,0.001,1000,4,1
562,0.1135,tanh,1.00E-05,0.01,0.001,1000,4,1
563,0.1135,tanh,0.0001,0.01,0.001,1000,4,1
564,0.1135,tanh,1.00E-07,0.01,0.01,1000,4,1
565,0.1135,tanh,1.00E-06,0.01,0.01,1000,4,1
566,0.1135,tanh,1.00E-05,0.01,0.01,1000,4,1
567,0.1135,tanh,0.0001,0.01,0.01,1000,4,1
568,0.1135,tanh,1.00E-07,0.01,0.1,1000,4,1
569,0.1135,tanh,1.00E-06,0.01,0.1,1000,4,1
570,0.1135,tanh,1.00E-05,0.01,0.1,1000,4,1
571,0.1135,tanh,0.0001,0.01,0.1,1000,4,1
572,0.1009,tanh,1.00E-07,0.01,1,1000,4,1
573,0.0974,tanh,1.00E-06,0.01,1,1000,4,1
574,0.098,tanh,1.00E-05,0.01,1,1000,4,1
575,0.0982,tanh,0.0001,0.01,1,1000,4,1
576,0.1135,tanh,1.00E-07,0.1,0.001,100,2,1
577,0.1135,tanh,1.00E-06,0.1,0.001,100,2,1
578,0.1135,tanh,1.00E-05,0.1,0.001,100,2,1
579,0.1135,tanh,0.0001,0.1,0.001,100,2,1
580,0.1135,tanh,1.00E-07,0.1,0.01,100,2,1
581,0.1135,tanh,1.00E-06,0.1,0.01,100,2,1
582,0.1135,tanh,1.00E-05,0.1,0.01,100,2,1
583,0.1135,tanh,0.0001,0.1,0.01,100,2,1
584,0.1135,tanh,1.00E-07,0.1,0.1,100,2,1
585,0.1135,tanh,1.00E-06,0.1,0.1,100,2,1
586,0.1028,tanh,1.00E-05,0.1,0.1,100,2,1
587,0.1135,tanh,0.0001,0.1,0.1,100,2,1
588,0.108,tanh,1.00E-07,0.1,1,100,2,1
589,0.1013,tanh,1.00E-06,0.1,1,100,2,1
590,0.118,tanh,1.00E-05,0.1,1,100,2,1
591,0.1208,tanh,0.0001,0.1,1,100,2,1
592,0.1135,tanh,1.00E-07,0.1,0.001,215,2,1
593,0.1135,tanh,1.00E-06,0.1,0.001,215,2,1
594,0.1135,tanh,1.00E-05,0.1,0.001,215,2,1
595,0.1135,tanh,0.0001,0.1,0.001,215,2,1
596,0.1135,tanh,1.00E-07,0.1,0.01,215,2,1
597,0.1135,tanh,1.00E-06,0.1,0.01,215,2,1
598,0.1135,tanh,1.00E-05,0.1,0.01,215,2,1
599,0.1135,tanh,0.0001,0.1,0.01,215,2,1
600,0.1135,tanh,1.00E-07,0.1,0.1,215,2,1
601,0.1135,tanh,1.00E-06,0.1,0.1,215,2,1
602,0.1004,tanh,1.00E-05,0.1,0.1,215,2,1
603,0.1135,tanh,0.0001,0.1,0.1,215,2,1
604,0.103,tanh,1.00E-07,0.1,1,215,2,1
605,0.1132,tanh,1.00E-06,0.1,1,215,2,1
606,0.1032,tanh,1.00E-05,0.1,1,215,2,1
607,0.093,tanh,0.0001,0.1,1,215,2,1
608,0.1135,tanh,1.00E-07,0.1,0.001,464,2,1
609,0.1135,tanh,1.00E-06,0.1,0.001,464,2,1
610,0.1135,tanh,1.00E-05,0.1,0.001,464,2,1
611,0.1135,tanh,0.0001,0.1,0.001,464,2,1
612,0.1135,tanh,1.00E-07,0.1,0.01,464,2,1
613,0.1135,tanh,1.00E-06,0.1,0.01,464,2,1
614,0.1135,tanh,1.00E-05,0.1,0.01,464,2,1
615,0.1135,tanh,0.0001,0.1,0.01,464,2,1
616,0.1135,tanh,1.00E-07,0.1,0.1,464,2,1
617,0.101,tanh,1.00E-06,0.1,0.1,464,2,1
618,0.1135,tanh,1.00E-05,0.1,0.1,464,2,1
619,0.1135,tanh,0.0001,0.1,0.1,464,2,1
620,0.0917,tanh,1.00E-07,0.1,1,464,2,1
621,0.0974,tanh,1.00E-06,0.1,1,464,2,1
622,0.1266,tanh,1.00E-05,0.1,1,464,2,1
623,0.1018,tanh,0.0001,0.1,1,464,2,1
624,0.1135,tanh,1.00E-07,0.1,0.001,1000,2,1
625,0.1135,tanh,1.00E-06,0.1,0.001,1000,2,1
626,0.1135,tanh,1.00E-05,0.1,0.001,1000,2,1
627,0.1135,tanh,0.0001,0.1,0.001,1000,2,1
628,0.1135,tanh,1.00E-07,0.1,0.01,1000,2,1
629,0.1135,tanh,1.00E-06,0.1,0.01,1000,2,1
630,0.1135,tanh,1.00E-05,0.1,0.01,1000,2,1
631,0.1135,tanh,0.0001,0.1,0.01,1000,2,1
632,0.1526,tanh,1.00E-07,0.1,0.1,1000,2,1
633,0.1207,tanh,1.00E-06,0.1,0.1,1000,2,1
634,0.1135,tanh,1.00E-05,0.1,0.1,1000,2,1
635,0.1135,tanh,0.0001,0.1,0.1,1000,2,1
636,0.1028,tanh,1.00E-07,0.1,1,1000,2,1
637,0.101,tanh,1.00E-06,0.1,1,1000,2,1
638,0.1009,tanh,1.00E-05,0.1,1,1000,2,1
639,0.0958,tanh,0.0001,0.1,1,1000,2,1
640,0.1135,tanh,1.00E-07,0.1,0.001,100,3,1
641,0.1135,tanh,1.00E-06,0.1,0.001,100,3,1
642,0.1135,tanh,1.00E-05,0.1,0.001,100,3,1
643,0.1135,tanh,0.0001,0.1,0.001,100,3,1
644,0.1135,tanh,1.00E-07,0.1,0.01,100,3,1
645,0.1135,tanh,1.00E-06,0.1,0.01,100,3,1
646,0.1135,tanh,1.00E-05,0.1,0.01,100,3,1
647,0.1135,tanh,0.0001,0.1,0.01,100,3,1
648,0.1135,tanh,1.00E-07,0.1,0.1,100,3,1
649,0.1135,tanh,1.00E-06,0.1,0.1,100,3,1
650,0.1135,tanh,1.00E-05,0.1,0.1,100,3,1
651,0.1135,tanh,0.0001,0.1,0.1,100,3,1
652,0.0755,tanh,1.00E-07,0.1,1,100,3,1
653,0.0812,tanh,1.00E-06,0.1,1,100,3,1
654,0.0747,tanh,1.00E-05,0.1,1,100,3,1
655,0.101,tanh,0.0001,0.1,1,100,3,1
656,0.1135,tanh,1.00E-07,0.1,0.001,215,3,1
657,0.1135,tanh,1.00E-06,0.1,0.001,215,3,1
658,0.1135,tanh,1.00E-05,0.1,0.001,215,3,1
659,0.1135,tanh,0.0001,0.1,0.001,215,3,1
660,0.1135,tanh,1.00E-07,0.1,0.01,215,3,1
661,0.1135,tanh,1.00E-06,0.1,0.01,215,3,1
662,0.1135,tanh,1.00E-05,0.1,0.01,215,3,1
663,0.1135,tanh,0.0001,0.1,0.01,215,3,1
664,0.1135,tanh,1.00E-07,0.1,0.1,215,3,1
665,0.1135,tanh,1.00E-06,0.1,0.1,215,3,1
666,0.1135,tanh,1.00E-05,0.1,0.1,215,3,1
667,0.1135,tanh,0.0001,0.1,0.1,215,3,1
668,0.0982,tanh,1.00E-07,0.1,1,215,3,1
669,0.1258,tanh,1.00E-06,0.1,1,215,3,1
670,0.0916,tanh,1.00E-05,0.1,1,215,3,1
671,0.1137,tanh,0.0001,0.1,1,215,3,1
672,0.1135,tanh,1.00E-07,0.1,0.001,464,3,1
673,0.1135,tanh,1.00E-06,0.1,0.001,464,3,1
674,0.1135,tanh,1.00E-05,0.1,0.001,464,3,1
675,0.1135,tanh,0.0001,0.1,0.001,464,3,1
676,0.1135,tanh,1.00E-07,0.1,0.01,464,3,1
677,0.1135,tanh,1.00E-06,0.1,0.01,464,3,1
678,0.1135,tanh,1.00E-05,0.1,0.01,464,3,1
679,0.1135,tanh,0.0001,0.1,0.01,464,3,1
680,0.1135,tanh,1.00E-07,0.1,0.1,464,3,1
681,0.1135,tanh,1.00E-06,0.1,0.1,464,3,1
682,0.1135,tanh,1.00E-05,0.1,0.1,464,3,1
683,0.1135,tanh,0.0001,0.1,0.1,464,3,1
684,0.1033,tanh,1.00E-07,0.1,1,464,3,1
685,0.098,tanh,1.00E-06,0.1,1,464,3,1
686,0.1135,tanh,1.00E-05,0.1,1,464,3,1
687,0.1007,tanh,0.0001,0.1,1,464,3,1
688,0.1135,tanh,1.00E-07,0.1,0.001,1000,3,1
689,0.1135,tanh,1.00E-06,0.1,0.001,1000,3,1
690,0.1135,tanh,1.00E-05,0.1,0.001,1000,3,1
691,0.1135,tanh,0.0001,0.1,0.001,1000,3,1
692,0.1135,tanh,1.00E-07,0.1,0.01,1000,3,1
693,0.1135,tanh,1.00E-06,0.1,0.01,1000,3,1
694,0.1135,tanh,1.00E-05,0.1,0.01,1000,3,1
695,0.1135,tanh,0.0001,0.1,0.01,1000,3,1
696,0.1135,tanh,1.00E-07,0.1,0.1,1000,3,1
697,0.1135,tanh,1.00E-06,0.1,0.1,1000,3,1
698,0.101,tanh,1.00E-05,0.1,0.1,1000,3,1
699,0.1135,tanh,0.0001,0.1,0.1,1000,3,1
700,0.1032,tanh,1.00E-07,0.1,1,1000,3,1
701,0.101,tanh,1.00E-06,0.1,1,1000,3,1
702,0.0974,tanh,1.00E-05,0.1,1,1000,3,1
703,0.1032,tanh,0.0001,0.1,1,1000,3,1
704,0.1135,tanh,1.00E-07,0.1,0.001,100,4,1
705,0.1135,tanh,1.00E-06,0.1,0.001,100,4,1
706,0.1135,tanh,1.00E-05,0.1,0.001,100,4,1
707,0.1135,tanh,0.0001,0.1,0.001,100,4,1
708,0.1135,tanh,1.00E-07,0.1,0.01,100,4,1
709,0.1135,tanh,1.00E-06,0.1,0.01,100,4,1
710,0.1135,tanh,1.00E-05,0.1,0.01,100,4,1
711,0.1135,tanh,0.0001,0.1,0.01,100,4,1
712,0.1135,tanh,1.00E-07,0.1,0.1,100,4,1
713,0.1135,tanh,1.00E-06,0.1,0.1,100,4,1
714,0.1135,tanh,1.00E-05,0.1,0.1,100,4,1
715,0.1135,tanh,0.0001,0.1,0.1,100,4,1
716,0.0959,tanh,1.00E-07,0.1,1,100,4,1
717,0.1372,tanh,1.00E-06,0.1,1,100,4,1
718,0.1009,tanh,1.00E-05,0.1,1,100,4,1
719,0.1036,tanh,0.0001,0.1,1,100,4,1
720,0.1135,tanh,1.00E-07,0.1,0.001,215,4,1
721,0.1135,tanh,1.00E-06,0.1,0.001,215,4,1
722,0.1135,tanh,1.00E-05,0.1,0.001,215,4,1
723,0.1135,tanh,0.0001,0.1,0.001,215,4,1
724,0.1135,tanh,1.00E-07,0.1,0.01,215,4,1
725,0.1135,tanh,1.00E-06,0.1,0.01,215,4,1
726,0.1135,tanh,1.00E-05,0.1,0.01,215,4,1
727,0.1135,tanh,0.0001,0.1,0.01,215,4,1
728,0.1135,tanh,1.00E-07,0.1,0.1,215,4,1
729,0.1135,tanh,1.00E-06,0.1,0.1,215,4,1
730,0.1135,tanh,1.00E-05,0.1,0.1,215,4,1
731,0.1135,tanh,0.0001,0.1,0.1,215,4,1
732,0.098,tanh,1.00E-07,0.1,1,215,4,1
733,0.0958,tanh,1.00E-06,0.1,1,215,4,1
734,0.0974,tanh,1.00E-05,0.1,1,215,4,1
735,0.101,tanh,0.0001,0.1,1,215,4,1
736,0.1135,tanh,1.00E-07,0.1,0.001,464,4,1
737,0.1135,tanh,1.00E-06,0.1,0.001,464,4,1
738,0.1135,tanh,1.00E-05,0.1,0.001,464,4,1
739,0.1135,tanh,0.0001,0.1,0.001,464,4,1
740,0.1135,tanh,1.00E-07,0.1,0.01,464,4,1
741,0.1135,tanh,1.00E-06,0.1,0.01,464,4,1
742,0.1135,tanh,1.00E-05,0.1,0.01,464,4,1
743,0.1135,tanh,0.0001,0.1,0.01,464,4,1
744,0.1135,tanh,1.00E-07,0.1,0.1,464,4,1
745,0.1135,tanh,1.00E-06,0.1,0.1,464,4,1
746,0.1135,tanh,1.00E-05,0.1,0.1,464,4,1
747,0.1135,tanh,0.0001,0.1,0.1,464,4,1
748,0.1135,tanh,1.00E-07,0.1,1,464,4,1
749,0.0892,tanh,1.00E-06,0.1,1,464,4,1
750,0.1028,tanh,1.00E-05,0.1,1,464,4,1
751,0.1135,tanh,0.0001,0.1,1,464,4,1
752,0.1135,tanh,1.00E-07,0.1,0.001,1000,4,1
753,0.1135,tanh,1.00E-06,0.1,0.001,1000,4,1
754,0.1135,tanh,1.00E-05,0.1,0.001,1000,4,1
755,0.1135,tanh,0.0001,0.1,0.001,1000,4,1
756,0.1135,tanh,1.00E-07,0.1,0.01,1000,4,1
757,0.1135,tanh,1.00E-06,0.1,0.01,1000,4,1
758,0.1135,tanh,1.00E-05,0.1,0.01,1000,4,1
759,0.1135,tanh,0.0001,0.1,0.01,1000,4,1
760,0.1135,tanh,1.00E-07,0.1,0.1,1000,4,1
761,0.1135,tanh,1.00E-06,0.1,0.1,1000,4,1
762,0.1135,tanh,1.00E-05,0.1,0.1,1000,4,1
763,0.1135,tanh,0.0001,0.1,0.1,1000,4,1
764,0.098,tanh,1.00E-07,0.1,1,1000,4,1
765,0.1028,tanh,1.00E-06,0.1,1,1000,4,1
766,0.1135,tanh,1.00E-05,0.1,1,1000,4,1
767,0.1028,tanh,0.0001,0.1,1,1000,4,1
768,0.1135,tanh,1.00E-07,1,0.001,100,2,1
769,0.1135,tanh,1.00E-06,1,0.001,100,2,1
770,0.1135,tanh,1.00E-05,1,0.001,100,2,1
771,0.1135,tanh,0.0001,1,0.001,100,2,1
772,0.1135,tanh,1.00E-07,1,0.01,100,2,1
773,0.1135,tanh,1.00E-06,1,0.01,100,2,1
774,0.1135,tanh,1.00E-05,1,0.01,100,2,1
775,0.1135,tanh,0.0001,1,0.01,100,2,1
776,0.1063,tanh,1.00E-07,1,0.1,100,2,1
777,0.1009,tanh,1.00E-06,1,0.1,100,2,1
778,0.1214,tanh,1.00E-05,1,0.1,100,2,1
779,0.1235,tanh,0.0001,1,0.1,100,2,1
780,0.0982,tanh,1.00E-07,1,1,100,2,1
781,0.101,tanh,1.00E-06,1,1,100,2,1
782,0.1028,tanh,1.00E-05,1,1,100,2,1
783,0.108,tanh,0.0001,1,1,100,2,1
784,0.1135,tanh,1.00E-07,1,0.001,215,2,1
785,0.1135,tanh,1.00E-06,1,0.001,215,2,1
786,0.1135,tanh,1.00E-05,1,0.001,215,2,1
787,0.1135,tanh,0.0001,1,0.001,215,2,1
788,0.1135,tanh,1.00E-07,1,0.01,215,2,1
789,0.1135,tanh,1.00E-06,1,0.01,215,2,1
790,0.1135,tanh,1.00E-05,1,0.01,215,2,1
791,0.1135,tanh,0.0001,1,0.01,215,2,1
792,0.1039,tanh,1.00E-07,1,0.1,215,2,1
793,0.0975,tanh,1.00E-06,1,0.1,215,2,1
794,0.1173,tanh,1.00E-05,1,0.1,215,2,1
795,0.1381,tanh,0.0001,1,0.1,215,2,1
796,0.0974,tanh,1.00E-07,1,1,215,2,1
797,0.0974,tanh,1.00E-06,1,1,215,2,1
798,0.0974,tanh,1.00E-05,1,1,215,2,1
799,0.0892,tanh,0.0001,1,1,215,2,1
800,0.1135,tanh,1.00E-07,1,0.001,464,2,1
801,0.1135,tanh,1.00E-06,1,0.001,464,2,1
802,0.1135,tanh,1.00E-05,1,0.001,464,2,1
803,0.1135,tanh,0.0001,1,0.001,464,2,1
804,0.1135,tanh,1.00E-07,1,0.01,464,2,1
805,0.1135,tanh,1.00E-06,1,0.01,464,2,1
806,0.1135,tanh,1.00E-05,1,0.01,464,2,1
807,0.1135,tanh,0.0001,1,0.01,464,2,1
808,0.0892,tanh,1.00E-07,1,0.1,464,2,1
809,0.098,tanh,1.00E-06,1,0.1,464,2,1
810,0.1028,tanh,1.00E-05,1,0.1,464,2,1
811,0.1026,tanh,0.0001,1,0.1,464,2,1
812,0.101,tanh,1.00E-07,1,1,464,2,1
813,0.1028,tanh,1.00E-06,1,1,464,2,1
814,0.1028,tanh,1.00E-05,1,1,464,2,1
815,0.1032,tanh,0.0001,1,1,464,2,1
816,0.1135,tanh,1.00E-07,1,0.001,1000,2,1
817,0.1135,tanh,1.00E-06,1,0.001,1000,2,1
818,0.1135,tanh,1.00E-05,1,0.001,1000,2,1
819,0.1135,tanh,0.0001,1,0.001,1000,2,1
820,0.1082,tanh,1.00E-07,1,0.01,1000,2,1
821,0.1135,tanh,1.00E-06,1,0.01,1000,2,1
822,0.1134,tanh,1.00E-05,1,0.01,1000,2,1
823,0.1135,tanh,0.0001,1,0.01,1000,2,1
824,0.1032,tanh,1.00E-07,1,0.1,1000,2,1
825,0.1153,tanh,1.00E-06,1,0.1,1000,2,1
826,0.1016,tanh,1.00E-05,1,0.1,1000,2,1
827,0.0892,tanh,0.0001,1,0.1,1000,2,1
828,0.098,tanh,1.00E-07,1,1,1000,2,1
829,0.0974,tanh,1.00E-06,1,1,1000,2,1
830,0.1032,tanh,1.00E-05,1,1,1000,2,1
831,0.1032,tanh,0.0001,1,1,1000,2,1
832,0.1135,tanh,1.00E-07,1,0.001,100,3,1
833,0.1135,tanh,1.00E-06,1,0.001,100,3,1
834,0.1135,tanh,1.00E-05,1,0.001,100,3,1
835,0.1135,tanh,0.0001,1,0.001,100,3,1
836,0.1135,tanh,1.00E-07,1,0.01,100,3,1
837,0.1135,tanh,1.00E-06,1,0.01,100,3,1
838,0.1135,tanh,1.00E-05,1,0.01,100,3,1
839,0.1135,tanh,0.0001,1,0.01,100,3,1
840,0.1314,tanh,1.00E-07,1,0.1,100,3,1
841,0.058,tanh,1.00E-06,1,0.1,100,3,1
842,0.1045,tanh,1.00E-05,1,0.1,100,3,1
843,0.1135,tanh,0.0001,1,0.1,100,3,1
844,0.0892,tanh,1.00E-07,1,1,100,3,1
845,0.098,tanh,1.00E-06,1,1,100,3,1
846,0.0958,tanh,1.00E-05,1,1,100,3,1
847,0.1135,tanh,0.0001,1,1,100,3,1
848,0.1135,tanh,1.00E-07,1,0.001,215,3,1
849,0.1135,tanh,1.00E-06,1,0.001,215,3,1
850,0.1135,tanh,1.00E-05,1,0.001,215,3,1
851,0.1135,tanh,0.0001,1,0.001,215,3,1
852,0.1135,tanh,1.00E-07,1,0.01,215,3,1
853,0.1135,tanh,1.00E-06,1,0.01,215,3,1
854,0.1135,tanh,1.00E-05,1,0.01,215,3,1
855,0.1135,tanh,0.0001,1,0.01,215,3,1
856,0.1015,tanh,1.00E-07,1,0.1,215,3,1
857,0.0981,tanh,1.00E-06,1,0.1,215,3,1
858,0.0848,tanh,1.00E-05,1,0.1,215,3,1
859,0.0671,tanh,0.0001,1,0.1,215,3,1
860,0.0892,tanh,1.00E-07,1,1,215,3,1
861,0.0974,tanh,1.00E-06,1,1,215,3,1
862,0.1028,tanh,1.00E-05,1,1,215,3,1
863,0.1031,tanh,0.0001,1,1,215,3,1
864,0.1135,tanh,1.00E-07,1,0.001,464,3,1
865,0.1135,tanh,1.00E-06,1,0.001,464,3,1
866,0.1135,tanh,1.00E-05,1,0.001,464,3,1
867,0.1135,tanh,0.0001,1,0.001,464,3,1
868,0.1135,tanh,1.00E-07,1,0.01,464,3,1
869,0.1135,tanh,1.00E-06,1,0.01,464,3,1
870,0.1135,tanh,1.00E-05,1,0.01,464,3,1
871,0.1135,tanh,0.0001,1,0.01,464,3,1
872,0.1032,tanh,1.00E-07,1,0.1,464,3,1
873,0.1009,tanh,1.00E-06,1,0.1,464,3,1
874,0.098,tanh,1.00E-05,1,0.1,464,3,1
875,0.0497,tanh,0.0001,1,0.1,464,3,1
876,0.1028,tanh,1.00E-07,1,1,464,3,1
877,0.1009,tanh,1.00E-06,1,1,464,3,1
878,0.1028,tanh,1.00E-05,1,1,464,3,1
879,0.0892,tanh,0.0001,1,1,464,3,1
880,0.1135,tanh,1.00E-07,1,0.001,1000,3,1
881,0.1135,tanh,1.00E-06,1,0.001,1000,3,1
882,0.1135,tanh,1.00E-05,1,0.001,1000,3,1
883,0.1135,tanh,0.0001,1,0.001,1000,3,1
884,0.1135,tanh,1.00E-07,1,0.01,1000,3,1
885,0.1135,tanh,1.00E-06,1,0.01,1000,3,1
886,0.1135,tanh,1.00E-05,1,0.01,1000,3,1
887,0.0054,tanh,0.0001,1,0.01,1000,3,1
888,0.1272,tanh,1.00E-07,1,0.1,1000,3,1
889,0.1023,tanh,1.00E-06,1,0.1,1000,3,1
890,0.1135,tanh,1.00E-05,1,0.1,1000,3,1
891,0.1228,tanh,0.0001,1,0.1,1000,3,1
