,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
86,0.8744,tanh,1.00E-05,0.0001,0.01,215,3,1
87,0.9021,tanh,0.0001,0.0001,0.01,215,3,1
88,0.6291,tanh,1.00E-07,0.0001,0.1,215,3,1
89,0.6514,tanh,1.00E-06,0.0001,0.1,215,3,1
90,0.6062,tanh,1.00E-05,0.0001,0.1,215,3,1
91,0.6104,tanh,0.0001,0.0001,0.1,215,3,1
92,0.101,tanh,1.00E-07,0.0001,1,215,3,1
93,0.1032,tanh,1.00E-06,0.0001,1,215,3,1
94,0.0982,tanh,1.00E-05,0.0001,1,215,3,1
95,0.1009,tanh,0.0001,0.0001,1,215,3,1
96,0.929,tanh,1.00E-07,0.0001,0.001,464,3,1
97,0.9291,tanh,1.00E-06,0.0001,0.001,464,3,1
98,0.9285,tanh,1.00E-05,0.0001,0.001,464,3,1
99,0.9216,tanh,0.0001,0.0001,0.001,464,3,1
100,0.9007,tanh,1.00E-07,0.0001,0.01,464,3,1
101,0.8913,tanh,1.00E-06,0.0001,0.01,464,3,1
102,0.9023,tanh,1.00E-05,0.0001,0.01,464,3,1
103,0.9245,tanh,0.0001,0.0001,0.01,464,3,1
104,0.5736,tanh,1.00E-07,0.0001,0.1,464,3,1
105,0.6847,tanh,1.00E-06,0.0001,0.1,464,3,1
106,0.7758,tanh,1.00E-05,0.0001,0.1,464,3,1
107,0.8181,tanh,0.0001,0.0001,0.1,464,3,1
108,0.0892,tanh,1.00E-07,0.0001,1,464,3,1
109,0.101,tanh,1.00E-06,0.0001,1,464,3,1
110,0.101,tanh,1.00E-05,0.0001,1,464,3,1
111,0.1028,tanh,0.0001,0.0001,1,464,3,1
112,0.9405,tanh,1.00E-07,0.0001,0.001,1000,3,1
113,0.9396,tanh,1.00E-06,0.0001,0.001,1000,3,1
114,0.9401,tanh,1.00E-05,0.0001,0.001,1000,3,1
115,0.9324,tanh,0.0001,0.0001,0.001,1000,3,1
116,0.9159,tanh,1.00E-07,0.0001,0.01,1000,3,1
117,0.8912,tanh,1.00E-06,0.0001,0.01,1000,3,1
118,0.9159,tanh,1.00E-05,0.0001,0.01,1000,3,1
119,0.9406,tanh,0.0001,0.0001,0.01,1000,3,1
120,0.7278,tanh,1.00E-07,0.0001,0.1,1000,3,1
121,0.7885,tanh,1.00E-06,0.0001,0.1,1000,3,1
122,0.7706,tanh,1.00E-05,0.0001,0.1,1000,3,1
123,0.8479,tanh,0.0001,0.0001,0.1,1000,3,1
124,0.1009,tanh,1.00E-07,0.0001,1,1000,3,1
125,0.098,tanh,1.00E-06,0.0001,1,1000,3,1
126,0.101,tanh,1.00E-05,0.0001,1,1000,3,1
127,0.101,tanh,0.0001,0.0001,1,1000,3,1
128,0.9037,tanh,1.00E-07,0.0001,0.001,100,4,1
129,0.9045,tanh,1.00E-06,0.0001,0.001,100,4,1
130,0.9042,tanh,1.00E-05,0.0001,0.001,100,4,1
131,0.8893,tanh,0.0001,0.0001,0.001,100,4,1
132,0.8317,tanh,1.00E-07,0.0001,0.01,100,4,1
133,0.8321,tanh,1.00E-06,0.0001,0.01,100,4,1
134,0.8245,tanh,1.00E-05,0.0001,0.01,100,4,1
135,0.8594,tanh,0.0001,0.0001,0.01,100,4,1
136,0.5872,tanh,1.00E-07,0.0001,0.1,100,4,1
137,0.4713,tanh,1.00E-06,0.0001,0.1,100,4,1
138,0.5253,tanh,1.00E-05,0.0001,0.1,100,4,1
139,0.6378,tanh,0.0001,0.0001,0.1,100,4,1
140,0.1028,tanh,1.00E-07,0.0001,1,100,4,1
141,0.098,tanh,1.00E-06,0.0001,1,100,4,1
142,0.0982,tanh,1.00E-05,0.0001,1,100,4,1
143,0.0958,tanh,0.0001,0.0001,1,100,4,1
144,0.9171,tanh,1.00E-07,0.0001,0.001,215,4,1
145,0.9166,tanh,1.00E-06,0.0001,0.001,215,4,1
146,0.9127,tanh,1.00E-05,0.0001,0.001,215,4,1
147,0.9081,tanh,0.0001,0.0001,0.001,215,4,1
